	extended-spectrum_class_A_beta-lactamase_CTX-M-55	extended-spectrum_class_A_beta-lactamase_CTX-M-65	extended-spectrum_class_A_beta-lactamase_CTX-M-14	quinolone_resistance_pentapeptide_repeat_protein_QnrB22	class_C_beta-lactamase_CMY-2	macrolide_resistance_MFS_transporter_Mrx(A)	extended-spectrum_class_A_beta-lactamase_CTX-M-123	MBL_fold_metallo-hydrolase(WP_001522969.1)	extended-spectrum_class_A_beta-lactamase_CTX-M-64	sulfonamide-resistant_dihydropteroate_synthase_Sul1	Group
HenanCDC_SMPY2022033-1	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMPY2022063-1	0	1	0	0	0	0	0	0	0	1	R
HenanCDC_SMPY2022063-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMPY2022064	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMPY2022065	0	1	0	0	0	0	0	0	0	1	R
HenanCDC_SMPY2022066	0	1	0	0	0	0	0	0	0	1	R
HenanCDC_SMPYS2022001-4	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMXC2022003	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMXC2022005	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMXC2022012	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMXC2022014	0	1	0	0	0	0	0	0	0	1	R
HenanCDC_SMXC2022015	1	0	0	0	0	0	0	0	0	1	R
HenanCDC_SMXC2022044	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMXC2022046	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMXC2022047	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMXC2022063	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMXC2022064	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMXX2022002	0	1	0	0	0	0	0	0	0	1	R
HenanCDC_SMXX2022003	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMXX2022004	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMXX2022018	1	0	0	0	1	1	0	0	0	0	R
HenanCDC_SMXX2022050	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMXX2022056	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMXX2022058	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMXX2022078	0	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMXX2022087	0	1	0	0	0	0	0	0	0	1	R
HenanCDC_SMXXS2022007-5	0	0	0	0	1	0	0	0	0	0	R
HenanCDC_SMXY2022345	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMZK2022002	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMZK2022003	0	0	0	0	0	1	0	0	1	1	R
HenanCDC_SMZKL2022040	0	1	0	0	0	0	0	0	0	1	R
HenanCDC_SMZKRJ2022003	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMZKRJ2022036	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMZKRJ2022059	0	0	0	0	0	0	0	0	0	1	R
HenanCDC_SMZKRJ2022063	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMZKRJ2022068	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMZKRJ2022081	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMZKRJ2022084	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMZZ2022018-3	0	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMZZ2022018-5	0	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMZZ2022051-1	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMZZ2022051-2	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMZZ2022053-2	1	0	0	0	0	0	0	0	0	1	R
HenanCDC_SMZZ2022117-2	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMZZ2022121	0	1	0	0	0	0	0	0	0	0	R
HubeiCDC_HubeiCDC_2021-JB-SM-0024	0	0	0	0	0	0	0	0	0	0	R
HubeiCDC_HubeiCDC_2021-JB-SM-0025	0	1	0	0	0	0	0	0	0	0	R
